# Game of the Year Votes
# Reference: https://www.resetera.com/threads/steamera-games-of-the-year-awards-2017.19342/

111 | Middle-earth™: Shadow of War™ (Score: 2 | Votes: 2 | APS: 1.00 )
112 | The Surge (Score: 2 | Votes: 2 | APS: 1.00 )
113 | AER Memories of Old (Score: 1 | Votes: 1 | APS: 1.00 )
114 | Cluckle's Adventure (Score: 1 | Votes: 1 | APS: 1.00 )
115 | Fallout 4 VR (Score: 1 | Votes: 1 | APS: 1.00 )
116 | Fire Pro Wrestling World (Score: 1 | Votes: 1 | APS: 1.00 )
117 | Hidden Folks (Score: 1 | Votes: 1 | APS: 1.00 )
118 | Nights of Azure (Score: 1 | Votes: 1 | APS: 1.00 )
119 | Nights of Azure 2: Bride of the New Moon / よるのないくに２ ～新月の花嫁～ (Score: 1 | Votes: 1 | APS: 1.00 )
120 | Omegaland (Score: 1 | Votes: 1 | APS: 1.00 )
121 | Organ Quarter (Score: 1 | Votes: 1 | APS: 1.00 )
122 | Pinball FX3 (Score: 1 | Votes: 1 | APS: 1.00 )
123 | Planescape: Torment: Enhanced Edition (Score: 1 | Votes: 1 | APS: 1.00 )
124 | Power Hover (Score: 1 | Votes: 1 | APS: 1.00 )
125 | Pro Evolution Soccer 2018 (Score: 1 | Votes: 1 | APS: 1.00 )
126 | Push (Score: 1 | Votes: 1 | APS: 1.00 )
127 | Quake Champions (Score: 1 | Votes: 1 | APS: 1.00 )
128 | Soda Dungeon (Score: 1 | Votes: 1 | APS: 1.00 )
129 | Space Pirate Trainer (Score: 1 | Votes: 1 | APS: 1.00 )
130 | SPACEPLAN (Score: 1 | Votes: 1 | APS: 1.00 )
131 | Spellforce 3 (Score: 1 | Votes: 1 | APS: 1.00 )
132 | THE KING OF FIGHTERS XIV STEAM EDITION (Score: 1 | Votes: 1 | APS: 1.00 )
133 | Vaporum (Score: 1 | Votes: 1 | APS: 1.00 )
