 96 | Marvel Vs. Capcom Infinite (Score: 6 | Votes: 3 | APS: 2.00 | Bayesian Rating: 2.39)
 97 | Sniper Elite 4 (Score: 6 | Votes: 3 | APS: 2.00 | Bayesian Rating: 2.39)
 98 | AER Memories of Old (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
 99 | Cluckle's Adventure (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
100 | Fallout 4 VR (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
101 | Fire Pro Wrestling World (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
102 | Hidden Folks (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
103 | Nights of Azure (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
104 | Nights of Azure 2: Bride of the New Moon / よるのないくに２ ～新月の花嫁～ (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
105 | Omegaland (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
106 | Organ Quarter (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
107 | Pinball FX3 (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
108 | Planescape: Torment: Enhanced Edition (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
109 | Power Hover (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
110 | Pro Evolution Soccer 2018 (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
111 | Push (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
112 | Quake Champions (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
113 | Soda Dungeon (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
114 | Space Pirate Trainer (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
115 | SPACEPLAN (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
116 | Spellforce 3 (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
117 | THE KING OF FIGHTERS XIV STEAM EDITION (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
118 | Vaporum (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
119 | Nex Machina (Score: 15 | Votes: 7 | APS: 2.14 | Bayesian Rating: 2.34)
120 | Agents of Mayhem (Score: 3 | Votes: 2 | APS: 1.50 | Bayesian Rating: 2.30)
121 | Battle Chasers: Nightwar (Score: 3 | Votes: 2 | APS: 1.50 | Bayesian Rating: 2.30)
122 | Everything (Score: 3 | Votes: 2 | APS: 1.50 | Bayesian Rating: 2.30)
123 | 東方天空璋 ～ Hidden Star in Four Seasons. (Score: 3 | Votes: 2 | APS: 1.50 | Bayesian Rating: 2.30)
124 | Battle Brothers (Score: 5 | Votes: 3 | APS: 1.67 | Bayesian Rating: 2.27)
125 | South Park: The fractured but whole (Score: 5 | Votes: 3 | APS: 1.67 | Bayesian Rating: 2.27)
126 | Tokyo Xanadu eX+ (Score: 7 | Votes: 4 | APS: 1.75 | Bayesian Rating: 2.24)
127 | Ys SEVEN (Score: 7 | Votes: 4 | APS: 1.75 | Bayesian Rating: 2.24)
128 | Detention (Score: 2 | Votes: 2 | APS: 1.00 | Bayesian Rating: 2.17)
129 | Middle-earth™: Shadow of War™ (Score: 2 | Votes: 2 | APS: 1.00 | Bayesian Rating: 2.17)
130 | The Surge (Score: 2 | Votes: 2 | APS: 1.00 | Bayesian Rating: 2.17)
131 | Rez Infinite (Score: 4 | Votes: 3 | APS: 1.33 | Bayesian Rating: 2.15)
132 | The Sexy Brutale (Score: 12 | Votes: 7 | APS: 1.71 | Bayesian Rating: 2.10)
133 | The Legend of Heroes: Trails of Cold Steel (Score: 18 | Votes: 10 | APS: 1.80 | Bayesian Rating: 2.08)

NB: Bayesian Prior (Score: 2.60 | Votes: 5.39)
